student_id,student_name,branch,general_average,core_subject_average,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13,q14,q15,q16,q17,q18,q19,q20,q21,q22,q23,q24,q25,q26,q27,q28,q29,q30,q31,q32,q33,q34,q35,q36,q37,label,_sig
4736,حسن الإبراهيم,Entrepreneurship and Business,95.86,97.1,5,ربما,3,نعم,3,أبحث عن بديل,منخفض,1,2,3,2,3,3,4,تشرح له عن النواقل,سأتحمس لذلك مع بقائي حذرًا,من يصل مبكرًا يحصد نجاحًا,4,فقط إذا كنت أحب ما أدرسه,2,4,2,2,3,3,4,1,صائب,لا أعرف,أصفر,أزرق,العزف على آلة موسيقية,الدرامية أو الكوميدية,التخييم والرحلات,إجراء التجارب العلمية,قراءة كتاب أو مجلة,أجرب تجربة علمية,Financial and Banking Sciences,"(5, 'يعتمد', 3, 'نعم', 3, 'أبحث عن بديل', 'منخفض', 1, 2, 3, 2, 3, 3, 4, 'تشرح له عن النواقل', 'سأتحمس لذلك مع بقائي حذرًا', 'من يصل مبكرًا يحصد نجاحًا', 4, 'فقط إذا كنت أحب ما أدرسه', 2, 4, 2, 2, 3, 3, 4, '1', 'صائب', 'لا أعرف', 'أصفر', 'أزرق', 'العزف على آلة موسيقية', 'الدرامية أو الكوميدية', 'التخييم والرحلات', 'إجراء التجارب العلمية', 'قراءة كتاب أو مجلة', 'أجرب تجربة علمية')"
1888,عبدالله اليوسف,Scientific,98.91,96.12,2,لا,4,لا,3,أختار تخصصًا قريبًا منه,مرتفع,3,2,5,3,4,4,2,تشرح له حقيقة شعور الألم,غالبًا لا أجازف,كل شيء له وقته ومكانه,3,لا أحب الأعمال الكتبية,2,3,4,3,3,3,4,1,صائب,يجوز له ذلك بعد الطلاق,زهري,لا أتذكر,التصوير الفوتوغرافي,الخيال والخدع,التخييم والرحلات,تصوير وصناعة الفيديوهات,مشاهدة فيديوهات تعليمية,أحل لغز أو تحدي,Dentistry,"(2, 'لا', 4, 'لا', 3, 'أختار تخصصًا قريبًا منه', 'مرتفع', 3, 2, 5, 3, 4, 4, 2, 'تشرح له حقيقة شعور الألم', 'غالبًا لا أجازف', 'كل شيء له وقته ومكانه', 3, 'لا أحب الأعمال الكتبية', 2, 3, 4, 3, 3, 3, 4, '1', 'صائب', 'يجوز له ذلك بعد الطلاق', 'زهري', 'لا أتذكر', 'التصوير الفوتوغرافي', 'الخيال والخدع', 'التخييم والرحلات', 'تصوير وصناعة الفيديوهات', 'مشاهدة فيديوهات تعليمية', 'أحل لغز أو تحدي')"
495,سارة اليوسف,Scientific,54.85,53.72,2,لا,2,نعم,2,أبحث عن بديل,متوسط,3,4,3,3,5,4,3,تشرح له عن النواقل,سأكون قلقًا,من يصل مبكرًا يحصد نجاحًا,4,مع تغيير المكان,4,3,4,3,4,2,3,1,صائب,لن يستطيع الزواج,لا أتذكر,أصفر,العزف على آلة موسيقية,العلمية أو الخيال العلمي,السباحة,إجراء التجارب العلمية,كتابة مذكرات أو قصص,أجرب تجربة علمية,Mathematics,"(2, 'لا', 2, 'نعم', 2, 'أبحث عن بديل', 'متوسط', 3, 4, 3, 3, 5, 4, 3, 'تشرح له عن النواقل', 'سأكون قلقًا', 'من يصل مبكرًا يحصد نجاحًا', 4, 'مع تغيير المكان', 4, 3, 4, 3, 4, 2, 3, '1', 'صائب', 'لن يستطيع الزواج', 'لا أتذكر', 'أصفر', 'العزف على آلة موسيقية', 'العلمية أو الخيال العلمي', 'السباحة', 'إجراء التجارب العلمية', 'كتابة مذكرات أو قصص', 'أجرب تجربة علمية')"
2643,حسين اليوسف,Literary,73.84,71.74,3,نعم,3,يعتمد,3,أختار تخصصًا قريبًا منه,مرتفع,2,3,3,3,4,3,4,تشرح له عن النواقل,غالبًا لا أجازف,الاختلاف والتنوع هما أساس الحياة,3,مع تغيير المكان,3,3,3,5,2,4,2,48,منحاز,لا أعرف,لا أتذكر,زهري,الكتابة والتأليف,العلمية أو الخيال العلمي,التخييم والرحلات,تعلم لغات جديدة,كتابة مذكرات أو قصص,أبتكر قصة أو مشهد,English Language and Literature,"(3, 'نعم', 3, 'يعتمد', 3, 'أختار تخصصًا قريبًا منه', 'مرتفع', 2, 3, 3, 3, 4, 3, 4, 'تشرح له عن النواقل', 'غالبًا لا أجازف', 'الاختلاف والتنوع هما أساس الحياة', 3, 'مع تغيير المكان', 3, 3, 3, 5, 2, 4, 2, '48', 'منحاز', 'لا أعرف', 'لا أتذكر', 'زهري', 'الكتابة والتأليف', 'العلمية أو الخيال العلمي', 'التخييم والرحلات', 'تعلم لغات جديدة', 'كتابة مذكرات أو قصص', 'أبتكر قصة أو مشهد')"
3821,سارة السعدي,Sharia,68.41,69.77,2,ربما,3,يعتمد,3,أبحث عن بديل,متوسط,3,2,4,4,4,2,3,تقرصه لتثبت,غالبًا لا أجازف,استرح واستمتع,3,لا مشكلة لدي,2,1,3,4,4,4,3,48,منصف,لن يستطيع الزواج,لا أتذكر,لا أتذكر,الكتابة والتأليف,التحقيقات البوليسية,ممارسة الألعاب الرياضية,تصوير وصناعة الفيديوهات,مشاهدة فيديوهات تعليمية,أحل لغز أو تحدي,Jurisprudence and Legislation,"(2, 'ربما', 3, 'يعتمد', 3, 'أبحث عن بديل', 'متوسط', 3, 2, 4, 4, 4, 2, 3, 'تقرصه لتثبت', 'غالبًا لا أجازف', 'استرح واستمتع', 3, 'لا مشكلة لدي', 2, 1, 3, 4, 4, 4, 3, '48', 'منصف', 'لن يستطيع الزواج', 'لا أتذكر', 'لا أتذكر', 'الكتابة والتأليف', 'التحقيقات البوليسية', 'ممارسة الألعاب الرياضية', 'تصوير وصناعة الفيديوهات', 'مشاهدة فيديوهات تعليمية', 'أحل لغز أو تحدي')"
2066,علي المحمد,Literary,65.03,67.74,5,لا,3,لا,4,أختار تخصصًا قريبًا منه,منخفض,2,3,4,3,4,3,2,تشرح له عن النواقل,سأكون قلقًا,الاختلاف والتنوع هما أساس الحياة,2,مع تغيير المكان,4,3,4,3,4,2,4,1,منحاز,لا أعرف,أصفر,أصفر,الكتابة والتأليف,الخيال والخدع,التخييم والرحلات,تعلم لغات جديدة,قراءة كتاب أو مجلة,أبتكر قصة أو مشهد,Tourism and Archaeology,"(5, 'لا', 3, 'لا', 4, 'أختار تخصصًا قريبًا منه', 'منخفض', 2, 3, 4, 3, 4, 3, 2, 'تشرح له عن النواقل', 'سأكون قلقًا', 'الاختلاف والتنوع هما أساس الحياة', 2, 'مع تغيير المكان', 4, 3, 4, 3, 4, 2, 4, '1', 'منحاز', 'لا أعرف', 'أصفر', 'أصفر', 'الكتابة والتأليف', 'الخيال والخدع', 'التخييم والرحلات', 'تعلم لغات جديدة', 'قراءة كتاب أو مجلة', 'أبتكر قصة أو مشهد')"
1105,ليلى السعدي,Scientific,96.72,98.1,2,ربما,3,يعتمد,4,أختار تخصصًا قريبًا منه,منخفض,3,2,4,2,4,3,3,تقرصه لتثبت,سأكون متحمسًا,من يصل مبكرًا يحصد نجاحًا,5,لا مشكلة لدي,2,4,5,4,2,4,5,26,صائب,لن يستطيع الزواج,لا أتذكر,أزرق,الكتابة والتأليف,الدرامية أو الكوميدية,ممارسة الألعاب الرياضية,تصميم وبرمجة الكمبيوتر,مشاهدة فيديوهات تعليمية,أحل لغز أو تحدي,Network Engineering,"(2, 'يعتمد', 3, 'يعتمد', 4, 'أختار تخصصًا قريبًا منه', 'منخفض', 3, 2, 4, 2, 4, 3, 3, 'تقرصه لتثبت', 'سأكون متحمسًا', 'من يصل مبكرًا يحصد نجاحًا', 5, 'لا مشكلة لدي', 2, 4, 5, 4, 2, 4, 5, '26', 'صائب', 'لن يستطيع الزواج', 'لا أتذكر', 'أزرق', 'الكتابة والتأليف', 'الدرامية أو الكوميدية', 'ممارسة الألعاب الرياضية', 'تصميم وبرمجة الكمبيوتر', 'مشاهدة فيديوهات تعليمية', 'أحل لغز أو تحدي')"
1089,عمر الحسن,Scientific,67.64,64.84,2,لا,3,يعتمد,2,أختار تخصصًا قريبًا منه,مرتفع,3,3,3,3,4,4,2,تشرح له عن النواقل,سأكون متحمسًا,استرح واستمتع,4,مع تغيير المكان,3,3,4,3,2,4,3,1,صائب,لا أعرف,زهري,زهري,التصوير الفوتوغرافي,العلمية أو الخيال العلمي,التخييم والرحلات,إجراء التجارب العلمية,قراءة كتاب أو مجلة,أجرب تجربة علمية,Chemistry,"(2, 'لا', 3, 'يعتمد', 2, 'أختار تخصصًا قريبًا منه', 'مرتفع', 3, 3, 3, 3, 4, 4, 2, 'تشرح له عن النواقل', 'سأكون متحمسًا', 'استرح واستمتع', 4, 'مع تغيير المكان', 3, 3, 4, 3, 2, 4, 3, '1', 'صائب', 'لا أعرف', 'زهري', 'زهري', 'التصوير الفوتوغرافي', 'العلمية أو الخيال العلمي', 'التخييم والرحلات', 'إجراء التجارب العلمية', 'قراءة كتاب أو مجلة', 'أجرب تجربة علمية')"
821,فاطمة العلي,Scientific,73.24,71.2,4,ربما,3,يعتمد,3,أختار تخصصًا قريبًا منه,متوسط,4,3,3,4,4,4,4,تشرح له حقيقة شعور الألم,سأكون متحمسًا,من يصل مبكرًا يحصد نجاحًا,4,مع تغيير المكان,4,4,5,1,4,3,2,26,صائب,لا أعرف,أصفر,أزرق,الرسم والتلوين,الخيال والخدع,ممارسة الألعاب الرياضية,تصميم وبرمجة الكمبيوتر,مشاهدة فيديوهات تعليمية,أبتكر قصة أو مشهد,Computer Science,"(4, 'يعتمد', 3, 'يعتمد', 3, 'أختار تخصصًا قريبًا منه', 'متوسط', 4, 3, 3, 4, 4, 4, 4, 'تشرح له حقيقة شعور الألم', 'سأكون متحمسًا', 'من يصل مبكرًا يحصد نجاحًا', 4, 'مع تغيير المكان', 4, 4, 5, 1, 4, 3, 2, '26', 'صائب', 'لا أعرف', 'أصفر', 'أزرق', 'الرسم والتلوين', 'الخيال والخدع', 'ممارسة الألعاب الرياضية', 'تصميم وبرمجة الكمبيوتر', 'مشاهدة فيديوهات تعليمية', 'أبتكر قصة أو مشهد')"
4896,عائشة الخالدي,Entrepreneurship and Business,73.91,75.53,3,ربما,3,يعتمد,3,أبحث عن بديل,متوسط,1,2,3,3,5,3,4,تشرح له حقيقة شعور الألم,سأتحمس لذلك مع بقائي حذرًا,من يصل مبكرًا يحصد نجاحًا,5,فقط إذا كنت أحب ما أدرسه,4,4,3,3,3,2,4,لا أعرف,صائب,لا مشكلة إن لم يكن عربي,لا أتذكر,زهري,التصوير الفوتوغرافي,الدرامية أو الكوميدية,التخييم والرحلات,تصميم وبرمجة الكمبيوتر,كتابة مذكرات أو قصص,أجرب تجربة علمية,Digital Marketing and Communication,"(3, 'يعتمد', 3, 'يعتمد', 3, 'أبحث عن بديل', 'متوسط', 1, 2, 3, 3, 5, 3, 4, 'تشرح له حقيقة شعور الألم', 'سأتحمس لذلك مع بقائي حذرًا', 'من يصل مبكرًا يحصد نجاحًا', 5, 'فقط إذا كنت أحب ما أدرسه', 4, 4, 3, 3, 3, 2, 4, 'لا أعرف', 'صائب', 'لا مشكلة إن لم يكن عربي', 'لا أتذكر', 'زهري', 'التصوير الفوتوغرافي', 'الدرامية أو الكوميدية', 'التخييم والرحلات', 'تصميم وبرمجة الكمبيوتر', 'كتابة مذكرات أو قصص', 'أجرب تجربة علمية')"
3939,إبراهيم الإبراهيم,Agricultural,65.36,66.6,5,لا,3,لا,3,أختار تخصصًا قريبًا منه,متوسط,3,3,3,2,4,3,3,تشرح له حقيقة شعور الألم,غالبًا لا أجازف,استرح واستمتع,3,مع تغيير المكان,2,3,3,4,2,3,3,48,منحاز,لا أعرف,أخضر,لا أتذكر,الكتابة والتأليف,الدرامية أو الكوميدية,ممارسة الألعاب الرياضية,تصوير وصناعة الفيديوهات,مشاهدة فيديوهات تعليمية,أحل لغز أو تحدي,Nutrition and Food Processing,"(5, 'لا', 3, 'لا', 3, 'أختار تخصصًا قريبًا منه', 'متوسط', 3, 3, 3, 2, 4, 3, 3, 'تشرح له حقيقة شعور الألم', 'غالبًا لا أجازف', 'استرح واستمتع', 3, 'مع تغيير المكان', 2, 3, 3, 4, 2, 3, 3, '48', 'منحاز', 'لا أعرف', 'أخضر', 'لا أتذكر', 'الكتابة والتأليف', 'الدرامية أو الكوميدية', 'ممارسة الألعاب الرياضية', 'تصوير وصناعة الفيديوهات', 'مشاهدة فيديوهات تعليمية', 'أحل لغز أو تحدي')"
3543,إبراهيم اليوسف,Literary,67.64,69.69,3,لا,3,يعتمد,4,أختاره,متوسط,3,3,4,2,4,3,3,تشرح له عن النواقل,سأكون قلقًا,الاختلاف والتنوع هما أساس الحياة,2,مع تغيير المكان,1,4,3,2,3,3,4,لا أعرف,منحاز,لا مشكلة إن لم يكن عربي,زهري,زهري,الكتابة والتأليف,الخيال والخدع,التخييم والرحلات,تعلم لغات جديدة,مشاهدة فيديوهات تعليمية,أعمل على مشروع فني,Social Work,"(3, 'لا', 3, 'يعتمد', 4, 'أختاره', 'متوسط', 3, 3, 4, 2, 4, 3, 3, 'تشرح له عن النواقل', 'سأكون قلقًا', 'الاختلاف والتنوع هما أساس الحياة', 2, 'مع تغيير المكان', 1, 4, 3, 2, 3, 3, 4, 'لا أعرف', 'منحاز', 'لا مشكلة إن لم يكن عربي', 'زهري', 'زهري', 'الكتابة والتأليف', 'الخيال والخدع', 'التخييم والرحلات', 'تعلم لغات جديدة', 'مشاهدة فيديوهات تعليمية', 'أعمل على مشروع فني')"
4485,حسن العلي,Information Technology,93.51,95.39,4,ربما,3,يعتمد,3,أختار تخصصًا قريبًا منه,متوسط,3,4,4,3,3,3,3,تقرصه لتثبت,سأكون متحمسًا,كل شيء له وقته ومكانه,4,لا مشكلة لدي,2,4,3,2,3,4,3,1,صائب,لا أعرف,أصفر,لا أتذكر,التصوير الفوتوغرافي,الخيال والخدع,السباحة,تصميم وبرمجة الكمبيوتر,مشاهدة فيديوهات تعليمية,أحل لغز أو تحدي,Computer Engineering,"(4, 'يعتمد', 3, 'يعتمد', 3, 'أختار تخصصًا قريبًا منه', 'متوسط', 3, 4, 4, 3, 3, 3, 3, 'تقرصه لتثبت', 'سأكون متحمسًا', 'كل شيء له وقته ومكانه', 4, 'لا مشكلة لدي', 2, 4, 3, 2, 3, 4, 3, '1', 'صائب', 'لا أعرف', 'أصفر', 'لا أتذكر', 'التصوير الفوتوغرافي', 'الخيال والخدع', 'السباحة', 'تصميم وبرمجة الكمبيوتر', 'مشاهدة فيديوهات تعليمية', 'أحل لغز أو تحدي')"
3781,أحمد النجار,Sharia,94.91,96.93,3,ربما,3,يعتمد,4,أختار تخصصًا قريبًا منه,منخفض,1,3,4,5,3,1,3,تشرح له حقيقة شعور الألم,سأكون متحمسًا,كل شيء له وقته ومكانه,3,مع تغيير المكان,3,4,4,4,3,4,3,لا أعرف,صائب,لن يستطيع الزواج,أصفر,لا أتذكر,التصوير الفوتوغرافي,التحقيقات البوليسية,ممارسة الألعاب الرياضية,إجراء التجارب العلمية,قراءة كتاب أو مجلة,أبتكر قصة أو مشهد,Jurisprudence and Legislation,"(3, 'ربما', 3, 'يعتمد', 4, 'أختار تخصصًا قريبًا منه', 'منخفض', 1, 3, 4, 5, 3, 1, 3, 'تشرح له حقيقة شعور الألم', 'سأكون متحمسًا', 'كل شيء له وقته ومكانه', 3, 'مع تغيير المكان', 3, 4, 4, 4, 3, 4, 3, 'لا أعرف', 'صائب', 'لن يستطيع الزواج', 'أصفر', 'لا أتذكر', 'التصوير الفوتوغرافي', 'التحقيقات البوليسية', 'ممارسة الألعاب الرياضية', 'إجراء التجارب العلمية', 'قراءة كتاب أو مجلة', 'أبتكر قصة أو مشهد')"
